team,year,rank,points
South Alabama,2014,115,96.08
Central Michigan,2014,116,91.2
UNLV,2014,117,91.15
UTEP,2014,118,89.53
Charlotte,2014,119,89.2
UMass,2014,120,87.9
Army,2014,121,87.22
New Mexico State,2014,122,86.79
Kent State,2014,123,86.65
Eastern Michigan,2014,124,84.89
Miami (OH),2014,125,84.76
Louisiana Monroe,2014,126,84.48
UT San Antonio,2014,127,81.73
Wyoming,2014,128,80.87
Idaho,2014,129,77.86
Illinois State,2014,130,75.99
Chattanooga,2014,131,69.28
Troy,2014,132,64.21
Portland State,2014,133,63.88
Northern Arizona,2014,134,53.85
Charleston Southern,2014,135,48.6
Jacksonville State,2014,136,47.91
Albany,2014,138,42.37
Southern Illinois,2014,139,41.96
Harvard,2014,140,41.25
South Carolina State,2014,141,40.82
North Dakota State,2014,142,36.88
Stony Brook,2014,143,35.51
Samford,2014,144,34.42
Tennessee Tech,2014,145,32.99
Kennesaw State,2014,146,32.95
Nicholls,2014,147,32.13
Furman,2014,148,30.83
Princeton,2014,149,30.57
Indiana State,2014,150,30.33
Missouri State,2014,151,28.44
UC Davis,2014,152,27.34
Tennessee State,2014,153,26.59
Wofford,2014,154,26.57
Murray State,2014,155,25.6
Austin Peay,2014,156,25.04
Northern Iowa,2014,157,24.32
Eastern Illinois,2014,158,24.03
East Tennessee State,2014,159,23.78
Mercer,2014,160,23.5
Southeast Missouri State,2014,161,23.39
Towson,2014,162,21.77
Bethune-Cookman,2014,163,20.62
Northern Colorado,2014,164,20.55
Delaware,2014,165,20.34
James Madison,2014,166,20.2
Alabama State,2014,167,20.09
Coastal Carolina,2014,168,19.95
Monmouth,2014,169,19.29
Richmond,2014,170,19.26
Fordham,2014,171,18.92
Youngstown State,2014,173,18.81
William & Mary,2014,174,18.18
South Dakota State,2014,175,17.23
Rhode Island,2014,176,17.0
The Citadel,2014,178,16.76
Eastern Washington,2014,179,16.52
Lamar,2014,180,16.46
Lafayette,2014,181,15.94
Central Arkansas,2014,182,15.73
Western Illinois,2014,183,15.51
Holy Cross,2014,184,15.49
Southeastern Louisiana,2014,185,14.95
Savannah State,2014,187,14.24
Jackson State,2014,188,14.23
McNeese,2014,189,14.19
Pennsylvania,2014,190,13.96
Sam Houston State,2014,193,13.29
Idaho State,2014,194,13.29
Colgate,2014,195,13.26
Eastern Kentucky,2014,196,13.24
Grambling,2014,197,13.18
Jacksonville,2014,198,12.94
Presbyterian College,2014,199,12.63
Villanova,2014,202,11.66
New Hampshire,2014,203,11.22
UT Martin,2014,206,10.84
Western Carolina,2014,208,10.5
Northwestern State,2014,210,10.04
Robert Morris,2014,211,9.95
Delaware State,2014,212,9.86
Houston Christian,2014,213,9.34
Hampton,2014,214,9.04
Georgetown,2014,216,8.93
North Carolina Central,2014,217,8.89
Cornell,2014,218,8.82
Norfolk State,2014,219,8.64
Duquesne,2014,221,8.32
Prairie View,2014,223,7.93
Liberty,2014,224,7.63
Lehigh,2014,225,7.43
North Carolina A&T,2014,226,6.67
Sacramento State,2014,227,6.67
Stephen F. Austin,2014,228,6.67
Cal Poly,2014,229,6.67
Columbia,2014,230,6.67
Elon,2014,231,6.67
Montana State,2014,232,6.64
South Dakota,2014,233,6.64
Maine,2014,234,6.59
Bucknell,2014,235,6.31
Campbell,2014,236,5.95
Howard,2014,242,3.98
Texas Southern,2014,245,1.97
Marist,2014,279,-0.03
St Francis (PA),2014,280,-0.03
Wagner,2014,283,-0.03
Southern,2014,286,-0.03
Butler,2014,287,-0.03
Florida A&M,2014,295,-0.03
North Dakota,2014,300,-0.08
VMI,2014,301,-0.09
Alabama,2015,1,311.1
USC,2015,2,310.88
Florida State,2015,3,287.06
Tennessee,2015,4,286.26
LSU,2015,5,284.37
Georgia,2015,6,282.54
Ohio State,2015,7,279.6
Auburn,2015,8,278.31
Clemson,2015,9,277.98
Texas,2015,10,272.49
Texas A&M,2015,11,270.61
UCLA,2015,12,269.68
Notre Dame,2015,13,267.79
Penn State,2015,14,250.0
Oklahoma,2015,15,249.69
Oregon,2015,16,245.79
Ole Miss,2015,17,245.71
Mississippi State,2015,18,237.46
Arizona State,2015,19,232.73
South Carolina,2015,20,230.49
Florida,2015,21,227.46
Arkansas,2015,22,222.51
Michigan State,2015,23,221.77
Stanford,2015,24,220.65
Missouri,2015,25,217.98
Washington,2015,26,215.83
Miami,2015,27,215.49
North Carolina,2015,28,214.05
Virginia Tech,2015,29,212.07
Nebraska,2015,30,211.72
NC State,2015,31,208.69
Texas Tech,2015,32,203.18
Louisville,2015,33,201.4
California,2015,34,198.77
West Virginia,2015,35,198.02
Baylor,2015,36,195.88
Michigan,2015,37,194.82
Kentucky,2015,38,193.19
TCU,2015,39,191.44
Oklahoma State,2015,40,191.28
Wisconsin,2015,41,189.85
Washington State,2015,42,188.41
Arizona,2015,43,186.57
Georgia Tech,2015,44,185.45
Utah,2015,45,183.38
Pittsburgh,2015,46,183.18
Maryland,2015,47,182.31
Illinois,2015,48,181.74
Vanderbilt,2015,49,181.37
Virginia,2015,50,179.92
Wake Forest,2015,51,176.85
Duke,2015,52,175.77
Indiana,2015,53,175.35
Kansas State,2015,54,175.02
Northwestern,2015,55,174.83
Rutgers,2015,56,172.19
Syracuse,2015,57,172.06
Boise State,2015,58,171.68
Iowa,2015,59,169.99
Boston College,2015,60,169.45
Oregon State,2015,61,167.89
San José State,2015,62,167.14
Minnesota,2015,63,167.01
Iowa State,2015,64,166.5
BYU,2015,65,165.06
South Florida,2015,66,163.15
Purdue,2015,67,162.85
Cincinnati,2015,68,162.45
Colorado,2015,69,162.04
San Diego State,2015,70,161.96
UCF,2015,71,160.78
Fresno State,2015,72,155.02
Kansas,2015,73,153.94
Miami (OH),2015,74,150.48
Marshall,2015,75,149.98
Western Michigan,2015,76,147.78
Memphis,2015,77,146.79
Louisiana,2015,78,146.18
Florida Atlantic,2015,79,146.02
Temple,2015,80,143.34
SMU,2015,81,142.99
Louisiana Tech,2015,82,142.32
Northern Illinois,2015,83,138.94
Toledo,2015,84,138.12
Georgia Southern,2015,85,137.18
Middle Tennessee,2015,86,134.77
Southern Mississippi,2015,87,133.4
South Alabama,2015,88,132.17
Houston,2015,89,131.58
Arkansas State,2015,90,131.45
Tulane,2015,91,128.9
Ohio,2015,92,128.68
East Carolina,2015,93,126.85
North Texas,2015,94,126.6
Texas State,2015,95,124.71
Utah State,2015,96,124.56
Central Michigan,2015,97,123.63
Nevada,2015,98,122.5
Connecticut,2015,99,120.89
Florida International,2015,100,120.42
Rice,2015,101,120.11
Kent State,2015,102,119.93
UT San Antonio,2015,103,119.88
Bowling Green,2015,104,119.83
Ball State,2015,105,119.7
UNLV,2015,106,119.46
UMass,2015,107,118.12
Louisiana Monroe,2015,108,116.67
Tulsa,2015,109,116.08
Old Dominion,2015,110,115.65
Western Kentucky,2015,111,115.65
Navy,2015,112,114.7
Wyoming,2015,113,114.32
Appalachian State,2015,114,112.03
Eastern Michigan,2015,115,110.15
New Mexico,2015,116,110.03
Troy,2015,117,107.58
Buffalo,2015,118,103.21
Colorado State,2015,119,101.72
Army,2015,120,100.83
Idaho,2015,121,98.54
Hawai'i,2015,122,98.16
Air Force,2015,123,98.02
Georgia State,2015,124,90.61
New Mexico State,2015,125,87.78
Charlotte,2015,126,86.91
Akron,2015,127,82.38
UTEP,2015,128,73.03
Harvard,2015,129,67.37
Northern Arizona,2015,130,65.76
Chattanooga,2015,131,63.37
North Dakota State,2015,132,63.16
Jacksonville State,2015,133,59.0
Towson,2015,134,47.49
James Madison,2015,135,46.41
Yale,2015,136,45.08
Western Carolina,2015,137,43.67
Stephen F. Austin,2015,138,41.3
UT Martin,2015,139,39.72
UC Davis,2015,140,39.45
Northern Iowa,2015,141,39.11
Liberty,2015,142,38.13
Samford,2015,143,37.8
South Dakota,2015,145,37.56
Southern Illinois,2015,146,37.12
Montana,2015,147,37.09
Southeast Missouri State,2015,148,36.75
South Carolina State,2015,149,36.33
Lafayette,2015,150,35.89
Weber State,2015,151,35.75
Princeton,2015,152,35.28
Austin Peay,2015,153,35.12
Monmouth,2015,154,35.02
Cal Poly,2015,155,34.98
Villanova,2015,156,34.1
William & Mary,2015,157,33.75
South Dakota State,2015,158,33.71
Florida A&M,2015,159,32.93
Furman,2015,160,32.92
Duquesne,2015,161,32.39
Delaware,2015,162,32.38
Illinois State,2015,163,32.28
East Tennessee State,2015,164,31.28
Alcorn State,2015,165,30.6
The Citadel,2015,166,30.4
Wofford,2015,167,30.13
Sam Houston State,2015,168,29.96
Western Illinois,2015,169,28.88
Bethune-Cookman,2015,170,26.73
Coastal Carolina,2015,171,26.71
Dartmouth,2015,172,26.36
Colgate,2015,173,26.17
Rhode Island,2015,174,25.89
Southeastern Louisiana,2015,175,24.51
Mercer,2015,176,23.29
Northwestern State,2015,177,22.92
North Dakota,2015,178,22.25
Eastern Washington,2015,179,22.02
Texas Southern,2015,180,21.52
Lehigh,2015,182,21.25
Youngstown State,2015,183,21.21
Central Arkansas,2015,184,21.06
Indiana State,2015,185,19.63
Tennessee Tech,2015,186,19.23
Prairie View,2015,187,18.14
Presbyterian College,2015,188,16.93
Gardner-Webb,2015,189,16.8
New Hampshire,2015,190,16.61
Kennesaw State,2015,193,15.83
Richmond,2015,195,15.69
St Francis (PA),2015,196,15.51
Robert Morris,2015,197,14.96
Cornell,2015,198,13.69
Marist,2015,199,13.67
Northern Colorado,2015,201,13.33
Portland State,2015,202,13.29
Holy Cross,2015,203,13.29
Hampton,2015,204,12.87
Grand Valley State,2015,205,12.2
Bucknell,2015,207,11.95
North Carolina Central,2015,208,11.23
Charleston Southern,2015,209,11.13
Elon,2015,210,11.06
Eastern Kentucky,2015,211,11.01
McNeese,2015,213,10.93
Valparaiso,2015,214,10.32
Missouri State,2015,215,10.0
Alabama State,2015,216,9.97
Jackson State,2015,218,9.56
Columbia,2015,219,9.46
Murray State,2015,220,9.32
Maine,2015,223,8.86
Idaho State,2015,224,8.57
Norfolk State,2015,225,7.98
Montana State,2015,226,7.98
Stony Brook,2015,227,7.82
Tennessee State,2015,228,7.57
Georgetown,2015,229,6.92
Butler,2015,230,6.67
Sacramento State,2015,231,6.67
Lamar,2015,233,6.31
Southern Utah,2015,234,5.98
Fordham,2015,235,5.0
Delaware State,2015,236,4.98
Mississippi Valley State,2015,238,3.3
Savannah State,2015,263,0.0
UAB,2015,264,0.0
Jacksonville,2015,265,-0.03
Morgan State,2015,266,-0.03
North Carolina A&T,2015,267,-0.03
Albany,2015,268,-0.06
Alabama,2016,1,302.04
LSU,2016,2,295.03
Florida State,2016,3,294.83
Ohio State,2016,4,289.12
Ole Miss,2016,5,281.69
Georgia,2016,6,281.31
Texas,2016,7,280.66
Michigan,2016,8,280.38
Auburn,2016,9,275.14
USC,2016,10,273.71
Clemson,2016,11,271.16
Florida,2016,12,260.96
UCLA,2016,13,259.06
Tennessee,2016,14,253.94
Notre Dame,2016,15,249.43
Stanford,2016,16,245.82
Michigan State,2016,17,239.13
Texas A&M,2016,18,238.94
Oklahoma,2016,19,238.73
Penn State,2016,20,237.79
TCU,2016,21,235.79
Miami,2016,22,231.78
Arkansas,2016,23,219.34
Arizona State,2016,24,217.62
South Carolina,2016,25,216.77
Nebraska,2016,26,216.76
Oregon,2016,27,216.42
Mississippi State,2016,28,211.11
Washington,2016,29,209.87
Pittsburgh,2016,30,209.23
California,2016,31,207.8
North Carolina,2016,32,204.83
Duke,2016,33,204.67
Kentucky,2016,34,204.07
Wisconsin,2016,35,202.85
Houston,2016,36,201.5
Utah,2016,37,200.66
Louisville,2016,38,196.02
West Virginia,2016,39,194.45
Baylor,2016,40,191.99
Maryland,2016,41,190.15
Virginia Tech,2016,42,190.06
Missouri,2016,43,188.37
Texas Tech,2016,44,184.64
Oklahoma State,2016,45,184.33
Minnesota,2016,46,182.22
Iowa,2016,47,181.39
Arizona,2016,48,180.42
BYU,2016,49,177.85
NC State,2016,50,177.67
Marshall,2016,51,176.55
Northwestern,2016,52,174.91
Indiana,2016,53,172.23
Vanderbilt,2016,54,171.54
Iowa State,2016,55,170.58
Washington State,2016,56,169.74
Wake Forest,2016,57,169.4
Oregon State,2016,58,169.17
Temple,2016,59,167.55
Georgia Tech,2016,60,167.13
Memphis,2016,61,165.98
Syracuse,2016,62,165.15
Virginia,2016,63,164.95
Rutgers,2016,64,163.8
UCF,2016,65,162.22
South Florida,2016,66,161.21
Western Michigan,2016,67,160.72
Boise State,2016,68,160.66
Colorado,2016,69,160.42
Kansas,2016,70,159.19
UAB,2016,71,158.61
Kansas State,2016,72,155.49
Illinois,2016,73,153.64
Cincinnati,2016,74,152.74
SMU,2016,75,152.27
Colorado State,2016,76,150.5
Georgia Southern,2016,77,149.4
Boston College,2016,78,146.69
East Carolina,2016,79,146.62
Purdue,2016,80,145.09
UNLV,2016,81,142.78
San Diego State,2016,82,141.93
New Mexico,2016,83,141.76
San José State,2016,84,137.84
Fresno State,2016,85,137.22
UMass,2016,86,136.04
South Alabama,2016,87,134.08
Toledo,2016,88,132.92
Florida Atlantic,2016,89,132.74
Arkansas State,2016,90,132.18
Navy,2016,91,132.07
Utah State,2016,92,130.65
Miami (OH),2016,93,129.79
Louisiana Tech,2016,94,128.91
Tulsa,2016,95,128.52
Middle Tennessee,2016,96,128.26
Tulane,2016,97,127.78
Troy,2016,98,127.73
Connecticut,2016,99,126.83
Southern Mississippi,2016,100,126.05
Western Kentucky,2016,101,124.1
North Texas,2016,102,122.36
UT San Antonio,2016,103,120.32
Florida International,2016,104,119.8
Nevada,2016,105,118.76
Louisiana,2016,106,115.83
Central Michigan,2016,107,112.52
Hawai'i,2016,108,111.87
Appalachian State,2016,109,111.72
Texas State,2016,110,111.71
Bowling Green,2016,111,111.58
Northern Illinois,2016,112,111.4
Ball State,2016,113,110.91
Air Force,2016,114,110.9
Ohio,2016,115,109.82
Wyoming,2016,116,109.65
Army,2016,117,108.9
Buffalo,2016,118,107.51
Charlotte,2016,119,106.83
Old Dominion,2016,120,106.63
Eastern Michigan,2016,121,102.89
Yale,2016,122,102.29
Idaho,2016,123,101.42
Louisiana Monroe,2016,124,99.51
UTEP,2016,125,99.39
Coastal Carolina,2016,126,97.11
Georgia State,2016,127,96.32
New Mexico State,2016,128,94.49
Rice,2016,129,93.86
Columbia,2016,130,90.67
Kent State,2016,131,82.77
Akron,2016,132,82.29
Tennessee State,2016,133,81.09
Stephen F. Austin,2016,134,79.35
Lamar,2016,135,79.32
North Dakota State,2016,136,77.25
Montana,2016,137,75.88
Northern Arizona,2016,138,75.01
Harvard,2016,139,74.84
Sam Houston State,2016,140,69.3
UC Davis,2016,141,69.2
Northern Iowa,2016,142,68.3
Austin Peay,2016,144,67.88
Eastern Washington,2016,145,64.63
Samford,2016,146,64.62
Florida A&M,2016,147,63.31
Central Arkansas,2016,148,62.3
South Dakota State,2016,149,61.31
Grand Valley State,2016,150,60.25
Jacksonville State,2016,151,58.06
Richmond,2016,152,57.89
Northern Colorado,2016,153,56.31
Eastern Kentucky,2016,154,56.1
Bethune-Cookman,2016,155,56.07
James Madison,2016,156,55.72
Southeast Missouri State,2016,157,55.17
Pennsylvania,2016,158,53.42
South Dakota,2016,159,49.75
Tennessee Tech,2016,160,49.02
Weber State,2016,161,48.18
Western Carolina,2016,162,47.73
McNeese,2016,163,46.78
Wofford,2016,164,46.72
Montana State,2016,165,46.61
Youngstown State,2016,166,46.34
Portland State,2016,167,46.18
Rhode Island,2016,168,46.14
Idaho State,2016,169,45.42
Furman,2016,170,45.22
Murray State,2016,171,42.71
Dartmouth,2016,172,42.51
Princeton,2016,173,42.21
Nicholls,2016,174,41.98
Southeastern Louisiana,2016,175,40.99
Indiana State,2016,176,39.37
Southern Utah,2016,177,38.01
Lehigh,2016,178,37.73
Towson,2016,179,37.47
Liberty,2016,180,35.65
Northwestern State,2016,181,35.3
Illinois State,2016,182,34.92
Chattanooga,2016,183,34.03
Delaware,2016,184,32.74
Jackson State,2016,185,31.8
Villanova,2016,186,30.97
Mercer,2016,187,29.96
Prairie View,2016,188,29.53
Cal Poly,2016,189,29.43
Gardner-Webb,2016,190,29.25
William & Mary,2016,191,27.71
South Carolina State,2016,192,27.65
Missouri State,2016,193,27.34
Southern,2016,194,26.44
Alabama State,2016,195,26.02
Alcorn State,2016,196,25.55
Stony Brook,2016,197,25.36
Albany,2016,198,25.3
Eastern Illinois,2016,199,25.15
North Carolina Central,2016,200,24.82
Charleston Southern,2016,201,24.29
Savannah State,2016,202,24.24
North Dakota,2016,203,21.96
Robert Morris,2016,204,21.06
San Diego,2016,205,20.91
VMI,2016,206,20.11
Kennesaw State,2016,207,20.0
Georgetown,2016,208,19.96
Delaware State,2016,209,19.92
Bucknell,2016,210,19.13
Fordham,2016,211,19.12
Holy Cross,2016,213,18.82
Presbyterian College,2016,215,17.72
Norfolk State,2016,216,16.68
Southern Illinois,2016,217,16.63
Hampton,2016,218,15.61
Elon,2016,219,15.61
Morehead State,2016,220,15.51
Colgate,2016,221,15.51
New Hampshire,2016,222,14.63
North Carolina A&T,2016,223,14.61
Lafayette,2016,224,14.44
Sacred Heart,2016,231,12.5
Cornell,2016,232,12.21
UT Martin,2016,233,11.94
Western Illinois,2016,234,11.29
Brown,2016,236,10.69
Houston Christian,2016,239,9.95
Monmouth,2016,241,8.82
Alabama A&M,2016,242,8.42
The Citadel,2016,243,7.67
Campbell,2016,244,6.67
Morgan State,2016,246,6.67
Texas Southern,2016,248,6.67
Central Connecticut,2016,256,6.67
Drake,2016,259,5.31
Wagner,2016,261,0.0
Howard,2016,285,-0.03
Maine,2016,286,-0.11
Alabama,2017,1,323.87
Ohio State,2017,2,312.14
Georgia,2017,3,301.6
USC,2017,4,297.1
Michigan,2017,5,296.03
Florida State,2017,6,292.88
LSU,2017,7,287.66
Oklahoma,2017,8,270.79
Auburn,2017,9,255.92
Notre Dame,2017,10,251.32
Florida,2017,11,251.23
Miami,2017,12,248.67
Texas A&M,2017,13,248.58
Stanford,2017,14,246.79
Penn State,2017,15,240.47
Clemson,2017,16,238.91
Tennessee,2017,17,237.21
Maryland,2017,18,230.17
Oregon,2017,19,230.04
UCLA,2017,20,229.13
South Carolina,2017,21,227.58
Washington,2017,22,224.74
Nebraska,2017,23,224.33
Mississippi State,2017,24,220.22
Texas,2017,25,217.76
Virginia Tech,2017,26,217.74
Arkansas,2017,27,212.74
TCU,2017,28,210.03
North Carolina,2017,29,207.81
Kentucky,2017,30,207.73
Ole Miss,2017,31,207.63
Arizona State,2017,32,206.68
Utah,2017,33,205.78
Louisville,2017,34,205.15
Colorado,2017,35,203.78
Michigan State,2017,36,203.65
Pittsburgh,2017,37,202.12
Oklahoma State,2017,38,194.18
Wisconsin,2017,39,193.87
Baylor,2017,40,193.36
Iowa,2017,41,191.44
Rutgers,2017,42,189.01
Missouri,2017,43,187.71
Washington State,2017,44,186.45
Arizona,2017,45,185.88
Illinois,2017,46,185.24
Duke,2017,47,184.46
Georgia Tech,2017,48,184.4
Texas Tech,2017,49,183.07
Northwestern,2017,50,182.07
Oregon State,2017,51,181.32
Iowa State,2017,52,180.53
NC State,2017,53,180.46
Syracuse,2017,54,180.08
UCF,2017,55,178.34
Memphis,2017,56,177.6
West Virginia,2017,57,174.68
Virginia,2017,58,172.5
Minnesota,2017,59,171.42
Florida Atlantic,2017,60,171.18
Kansas State,2017,61,169.37
Indiana,2017,62,167.99
Cincinnati,2017,63,167.8
Boise State,2017,64,167.43
Vanderbilt,2017,65,167.42
BYU,2017,66,167.37
Boston College,2017,67,162.61
Wake Forest,2017,68,161.99
Houston,2017,69,160.34
California,2017,70,159.53
Kansas,2017,71,159.35
Purdue,2017,72,158.89
Colorado State,2017,73,158.09
Southern Mississippi,2017,74,152.71
UT San Antonio,2017,75,151.48
South Florida,2017,76,150.65
San Diego State,2017,77,149.69
Toledo,2017,78,146.6
East Carolina,2017,79,144.55
SMU,2017,80,140.4
Bowling Green,2017,81,138.14
Western Kentucky,2017,82,138.03
Florida International,2017,83,137.75
Fresno State,2017,84,137.74
Tulsa,2017,85,135.07
Hawai'i,2017,86,133.96
Marshall,2017,87,132.84
Navy,2017,88,131.73
Western Michigan,2017,89,129.94
Ball State,2017,90,128.8
Middle Tennessee,2017,91,128.1
Texas State,2017,92,127.89
Central Michigan,2017,93,127.4
Miami (OH),2017,94,126.73
Nevada,2017,95,125.03
Troy,2017,96,123.9
Northern Illinois,2017,97,122.74
San José State,2017,98,122.11
Wyoming,2017,99,122.05
Louisiana Tech,2017,100,121.72
Connecticut,2017,101,121.64
Louisiana Monroe,2017,102,121.55
Ohio,2017,103,120.83
Utah State,2017,104,120.0
Georgia State,2017,105,119.23
Georgia Southern,2017,106,118.78
Appalachian State,2017,107,116.78
UAB,2017,108,115.95
Air Force,2017,109,115.88
UMass,2017,110,115.82
Arkansas State,2017,111,114.91
Tulane,2017,112,114.66
Buffalo,2017,113,112.97
Charlotte,2017,114,111.82
North Texas,2017,115,111.16
South Alabama,2017,116,110.24
UNLV,2017,117,109.9
New Mexico,2017,118,109.85
Temple,2017,119,108.13
Army,2017,120,106.37
Louisiana,2017,121,104.33
Rice,2017,122,101.12
Eastern Michigan,2017,123,100.97
Old Dominion,2017,124,99.41
Harvard,2017,125,99.16
Coastal Carolina,2017,126,96.51
Yale,2017,127,95.54
Kent State,2017,128,94.88
New Mexico State,2017,129,94.57
Eastern Washington,2017,130,92.82
Akron,2017,131,88.91
Austin Peay,2017,132,88.84
UTEP,2017,133,85.51
Idaho,2017,134,83.36
North Dakota State,2017,135,82.65
Grand Valley State,2017,136,79.98
Southern Illinois,2017,137,79.79
Mercer,2017,138,79.49
Pennsylvania,2017,139,79.22
Northern Arizona,2017,140,77.63
Villanova,2017,141,73.85
Eastern Kentucky,2017,142,73.32
Montana State,2017,143,71.96
South Dakota State,2017,144,70.87
Sam Houston State,2017,145,69.78
South Dakota,2017,146,69.54
James Madison,2017,147,67.71
Jacksonville State,2017,148,66.06
Weber State,2017,149,64.24
Chattanooga,2017,151,60.61
Delaware,2017,152,58.54
Stephen F. Austin,2017,153,56.96
Southern Utah,2017,154,56.45
Princeton,2017,155,56.04
Illinois State,2017,156,54.55
UC Davis,2017,157,54.27
North Dakota,2017,158,53.96
Stony Brook,2017,159,51.96
Kennesaw State,2017,160,51.87
Texas Southern,2017,161,51.76
Savannah State,2017,162,49.86
UT Martin,2017,163,49.44
Montana,2017,164,48.96
Northern Colorado,2017,165,47.94
Lamar,2017,166,47.23
Columbia,2017,167,43.63
Monmouth,2017,168,40.88
Tennessee State,2017,169,40.82
Lafayette,2017,170,40.25
Liberty,2017,171,40.17
William & Mary,2017,172,39.61
Portland State,2017,173,37.83
Brown,2017,174,37.71
Western Illinois,2017,176,36.02
Dartmouth,2017,177,35.05
Houston Christian,2017,178,34.26
Southeast Missouri State,2017,179,33.67
Prairie View,2017,180,33.37
Cornell,2017,181,32.15
Missouri State,2017,182,32.02
Sacramento State,2017,183,31.33
McNeese,2017,184,31.02
Holy Cross,2017,185,30.54
Tennessee Tech,2017,186,30.13
The Citadel,2017,187,29.98
Jackson State,2017,188,28.73
Western Carolina,2017,189,28.39
East Tennessee State,2017,190,27.81
Howard,2017,191,27.75
Northern Iowa,2017,192,26.77
North Carolina Central,2017,193,26.67
Alcorn State,2017,195,25.22
Fordham,2017,196,24.95
Indiana State,2017,197,24.61
Lehigh,2017,198,24.26
Youngstown State,2017,199,24.07
Richmond,2017,200,22.7
Alabama A&M,2017,201,21.83
Northwestern State,2017,202,21.78
Samford,2017,203,21.72
Albany,2017,204,20.4
Towson,2017,205,18.5
Florida A&M,2017,206,18.09
Wofford,2017,207,17.5
Morgan State,2017,209,15.74
Charleston Southern,2017,210,15.53
Stetson,2017,211,15.21
St Francis (PA),2017,212,14.94
Cal Poly,2017,213,14.46
New Hampshire,2017,215,13.6
Southern,2017,218,12.97
Furman,2017,219,12.6
Delaware State,2017,221,11.65
Campbell,2017,222,11.39
Murray State,2017,223,10.99
Dayton,2017,224,10.68
Maine,2017,226,10.24
Colgate,2017,227,10.05
South Carolina State,2017,228,9.98
Southeastern Louisiana,2017,232,9.03
Idaho State,2017,234,8.17
Bethune-Cookman,2017,235,7.76
Central Arkansas,2017,236,7.63
VMI,2017,238,6.81
Eastern Illinois,2017,242,6.67
Marist,2017,243,6.67
Elon,2017,245,6.67
San Diego,2017,246,6.67
Nicholls,2017,249,6.67
Sacred Heart,2017,251,5.92
Morehead State,2017,252,5.81
North Carolina A&T,2017,256,2.97
Gardner-Webb,2017,257,1.97
Georgia,2018,1,323.31
Ohio State,2018,2,317.06
Texas,2018,3,300.06
USC,2018,4,291.2
Alabama,2018,5,289.94
Penn State,2018,6,285.92
Clemson,2018,7,283.67
Miami,2018,8,280.87
Oklahoma,2018,9,276.62
Notre Dame,2018,10,268.86
Florida State,2018,11,265.42
Auburn,2018,12,262.77
Oregon,2018,13,260.22
Florida,2018,14,259.56
LSU,2018,15,254.38
Washington,2018,16,253.23
Texas A&M,2018,17,251.2
South Carolina,2018,18,242.04
UCLA,2018,19,237.77
North Carolina,2018,20,232.27
Tennessee,2018,21,231.34
Michigan,2018,22,230.56
Nebraska,2018,23,227.95
Virginia Tech,2018,24,226.01
TCU,2018,25,224.13
NC State,2018,26,220.57
Mississippi State,2018,27,218.47
Maryland,2018,28,218.34
Baylor,2018,29,215.02
Louisville,2018,30,213.58
Michigan State,2018,31,212.21
Ole Miss,2018,32,211.49
Utah,2018,33,209.95
Oklahoma State,2018,34,209.93
West Virginia,2018,35,208.32
Arizona State,2018,36,207.26
Kentucky,2018,37,206.91
Minnesota,2018,38,206.66
Iowa,2018,39,203.34
Stanford,2018,40,202.29
Vanderbilt,2018,41,202.04
California,2018,42,197.41
Missouri,2018,43,197.38
Georgia Tech,2018,44,196.94
Wisconsin,2018,45,195.04
Washington State,2018,46,194.84
Pittsburgh,2018,47,193.19
Cincinnati,2018,48,192.64
Arkansas,2018,49,192.11
Indiana,2018,50,190.77
Syracuse,2018,51,189.14
Purdue,2018,52,188.31
Colorado,2018,53,187.11
Illinois,2018,54,185.83
Iowa State,2018,55,185.19
Rutgers,2018,56,184.28
Boise State,2018,57,183.46
Northwestern,2018,58,180.18
Virginia,2018,59,178.6
Kansas,2018,60,178.59
Arizona,2018,61,178.03
UCF,2018,62,177.05
Duke,2018,63,176.85
Wake Forest,2018,64,176.31
South Florida,2018,65,176.25
Kansas State,2018,66,175.65
Toledo,2018,67,174.0
Tulane,2018,68,173.75
Florida International,2018,69,173.58
Oregon State,2018,70,173.14
Boston College,2018,71,172.47
Texas Tech,2018,72,169.87
Houston,2018,73,166.86
Marshall,2018,74,165.85
Florida Atlantic,2018,75,163.9
Western Michigan,2018,76,163.69
Louisiana Tech,2018,77,162.18
BYU,2018,78,160.52
San Diego State,2018,79,159.56
Southern Mississippi,2018,80,157.89
Memphis,2018,81,157.28
Nevada,2018,82,155.96
Temple,2018,83,155.39
Western Kentucky,2018,84,154.77
UT San Antonio,2018,85,152.98
Colorado State,2018,86,152.79
SMU,2018,87,151.67
Arkansas State,2018,88,148.03
East Carolina,2018,89,147.43
Georgia Southern,2018,90,146.64
Bowling Green,2018,91,144.03
Fresno State,2018,92,141.73
Northern Illinois,2018,93,141.69
San José State,2018,94,140.86
Georgia State,2018,95,140.45
Hawai'i,2018,96,138.46
Tulsa,2018,97,137.25
Troy,2018,98,136.65
UNLV,2018,99,131.08
Kent State,2018,100,127.72
North Texas,2018,101,127.14
Connecticut,2018,102,125.87
UAB,2018,103,125.49
Middle Tennessee,2018,104,125.31
Louisiana,2018,105,124.91
Navy,2018,106,124.71
Texas State,2018,107,124.24
UMass,2018,108,123.66
Utah State,2018,109,123.61
Eastern Michigan,2018,110,121.54
Charlotte,2018,111,120.43
